[BOOT] 2024-02-08T12:13:55Z CrowdSense System Init... OK
[DATA] 2024-02-08T12:13:55Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-69 | FC:0x4000 | SEQ:0001 | MAC:1e:89:b6:1d:c5:a8 | SSID:L Bello_8361
[DATA] 2024-02-08T12:13:56Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-91 | FC:0x4000 | SEQ:0017 | MAC:62:f9:53:e3:75:ce | SSID:TP-LINK_2560
[DATA] 2024-02-08T12:13:56Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-40 | FC:0x4000 | SEQ:0018 | MAC:62:f9:53:e3:75:ce | SSID:
[DATA] 2024-02-08T12:13:56Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-73 | FC:0x4000 | SEQ:0025 | MAC:62:f9:53:e3:75:ce | SSID:L Bello_8361
[DATA] 2024-02-08T12:13:56Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-53 | FC:0x4000 | SEQ:0025 | MAC:62:f9:53:e3:75:ce | SSID:L Bello_8361
[DATA] 2024-02-08T12:13:56Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-87 | FC:0x4000 | SEQ:0026 | MAC:62:f9:53:e3:75:ce | SSID:TP-LINK_2560
[DATA] 2024-02-08T12:13:56Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-77 | FC:0x4000 | SEQ:0027 | MAC:62:f9:53:e3:75:ce | SSID:
[DATA] 2024-02-08T12:13:56Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-82 | FC:0x4000 | SEQ:0027 | MAC:62:f9:53:e3:75:ce | SSID:
[DATA] 2024-02-08T12:13:56Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-54 | FC:0x4000 | SEQ:0028 | MAC:62:f9:53:e3:75:ce | SSID:L Bello_8361
[DATA] 2024-02-08T12:13:56Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-35 | FC:0x4000 | SEQ:0028 | MAC:62:f9:53:e3:75:ce | SSID:L Bello_8361
[DATA] 2024-02-08T12:13:56Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-54 | FC:0x4000 | SEQ:0029 | MAC:62:f9:53:e3:75:ce | SSID:TP-LINK_2560
[DATA] 2024-02-08T12:13:56Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-71 | FC:0x4000 | SEQ:0030 | MAC:62:f9:53:e3:75:ce | SSID:
[DATA] 2024-02-08T12:13:56Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-91 | FC:0x4000 | SEQ:0030 | MAC:62:f9:53:e3:75:ce | SSID:
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-66 | FC:0x4000 | SEQ:0035 | MAC:d6:04:44:9f:e7:1b | SSID:TP-LINK_2560
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-75 | FC:0x4000 | SEQ:0038 | MAC:d6:04:44:9f:e7:1b | SSID:TP-LINK_2560
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-46 | FC:0x4000 | SEQ:0040 | MAC:d6:04:44:9f:e7:1b | SSID:L Bello_8361
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-66 | FC:0x4000 | SEQ:0043 | MAC:d6:04:44:9f:e7:1b | SSID:L Bello_8361
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-47 | FC:0x4000 | SEQ:0044 | MAC:d6:04:44:9f:e7:1b | SSID:TP-LINK_2560
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-60 | FC:0x4000 | SEQ:0045 | MAC:d6:04:44:9f:e7:1b | SSID:
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-63 | FC:0x4000 | SEQ:0046 | MAC:d6:04:44:9f:e7:1b | SSID:L Bello_8361
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-92 | FC:0x4000 | SEQ:0047 | MAC:d6:04:44:9f:e7:1b | SSID:TP-LINK_2560
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-80 | FC:0x4000 | SEQ:0048 | MAC:d6:04:44:9f:e7:1b | SSID:
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-41 | FC:0x4000 | SEQ:0051 | MAC:d6:04:44:9f:e7:1b | SSID:
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-47 | FC:0x4000 | SEQ:0052 | MAC:d6:04:44:9f:e7:1b | SSID:L Bello_8361
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-35 | FC:0x4000 | SEQ:0054 | MAC:d6:04:44:9f:e7:1b | SSID:
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-42 | FC:0x4000 | SEQ:0055 | MAC:d6:04:44:9f:e7:1b | SSID:L Bello_8361
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-86 | FC:0x4000 | SEQ:0056 | MAC:d6:04:44:9f:e7:1b | SSID:TP-LINK_2560
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-85 | FC:0x4000 | SEQ:0057 | MAC:d6:04:44:9f:e7:1b | SSID:
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-82 | FC:0x4000 | SEQ:0058 | MAC:d6:04:44:9f:e7:1b | SSID:L Bello_8361
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-91 | FC:0x4000 | SEQ:0059 | MAC:d6:04:44:9f:e7:1b | SSID:TP-LINK_2560
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-37 | FC:0x4000 | SEQ:0060 | MAC:d6:04:44:9f:e7:1b | SSID:
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-56 | FC:0x4000 | SEQ:0061 | MAC:d6:04:44:9f:e7:1b | SSID:L Bello_8361
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-40 | FC:0x4000 | SEQ:0062 | MAC:d6:04:44:9f:e7:1b | SSID:TP-LINK_2560
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-87 | FC:0x4000 | SEQ:0062 | MAC:d6:04:44:9f:e7:1b | SSID:TP-LINK_2560
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-35 | FC:0x4000 | SEQ:0063 | MAC:d6:04:44:9f:e7:1b | SSID:
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-90 | FC:0x4000 | SEQ:0064 | MAC:d6:04:44:9f:e7:1b | SSID:L Bello_8361
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-49 | FC:0x4000 | SEQ:0065 | MAC:d6:04:44:9f:e7:1b | SSID:TP-LINK_2560
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-51 | FC:0x4000 | SEQ:0065 | MAC:d6:04:44:9f:e7:1b | SSID:TP-LINK_2560
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-52 | FC:0x4000 | SEQ:0066 | MAC:d6:04:44:9f:e7:1b | SSID:
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-77 | FC:0x4000 | SEQ:0067 | MAC:d6:04:44:9f:e7:1b | SSID:L Bello_8361
[ERROR] 2024-02-08T12:13:57Z Buffer utilization > 80%
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-82 | FC:0x4000 | SEQ:0068 | MAC:d6:04:44:9f:e7:1b | SSID:TP-LINK_2560
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-60 | FC:0x4000 | SEQ:0069 | MAC:d6:04:44:9f:e7:1b | SSID:
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-57 | FC:0x4000 | SEQ:0070 | MAC:d6:04:44:9f:e7:1b | SSID:L Bello_8361
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-93 | FC:0x4000 | SEQ:0071 | MAC:d6:04:44:9f:e7:1b | SSID:TP-LINK_2560
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-48 | FC:0x4000 | SEQ:0072 | MAC:d6:04:44:9f:e7:1b | SSID:
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-90 | FC:0x4000 | SEQ:0073 | MAC:d6:04:44:9f:e7:1b | SSID:L Bello_8361
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-70 | FC:0x4000 | SEQ:0073 | MAC:d6:04:44:9f:e7:1b | SSID:L Bello_8361
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-42 | FC:0x4000 | SEQ:0074 | MAC:d6:04:44:9f:e7:1b | SSID:TP-LINK_2560
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-38 | FC:0x4000 | SEQ:0075 | MAC:d6:04:44:9f:e7:1b | SSID:
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-70 | FC:0x4000 | SEQ:0078 | MAC:d6:04:44:9f:e7:1b | SSID:
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-88 | FC:0x4000 | SEQ:0078 | MAC:d6:04:44:9f:e7:1b | SSID:
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-77 | FC:0x4000 | SEQ:0079 | MAC:d6:04:44:9f:e7:1b | SSID:L Bello_8361
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-40 | FC:0x4000 | SEQ:0080 | MAC:d6:04:44:9f:e7:1b | SSID:TP-LINK_2560
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-80 | FC:0x4000 | SEQ:0080 | MAC:d6:04:44:9f:e7:1b | SSID:TP-LINK_2560
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-77 | FC:0x4000 | SEQ:0081 | MAC:d6:04:44:9f:e7:1b | SSID:
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-77 | FC:0x4000 | SEQ:0081 | MAC:d6:04:44:9f:e7:1b | SSID:
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-73 | FC:0x4000 | SEQ:0082 | MAC:d6:04:44:9f:e7:1b | SSID:L Bello_8361
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-47 | FC:0x4000 | SEQ:0082 | MAC:d6:04:44:9f:e7:1b | SSID:L Bello_8361
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-52 | FC:0x4000 | SEQ:0083 | MAC:d6:04:44:9f:e7:1b | SSID:TP-LINK_2560
[DATA] 2024-02-08T12:13:57Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-59 | FC:0x4000 | SEQ:0084 | MAC:d6:04:44:9f:e7:1b | SSID:
[DATA] 2024-02-08T12:14:01Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-63 | FC:0x4000 | SEQ:0103 | MAC:6e:60:cf:d2:b1:c6 | SSID:
[DATA] 2024-02-08T12:14:01Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-54 | FC:0x4000 | SEQ:0104 | MAC:6e:60:cf:d2:b1:c6 | SSID:
[DATA] 2024-02-08T12:14:01Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-72 | FC:0x4000 | SEQ:0105 | MAC:6e:60:cf:d2:b1:c6 | SSID:
[DATA] 2024-02-08T12:14:01Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-58 | FC:0x4000 | SEQ:0106 | MAC:6e:60:cf:d2:b1:c6 | SSID:
[DATA] 2024-02-08T12:14:01Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-43 | FC:0x4000 | SEQ:0107 | MAC:6e:60:cf:d2:b1:c6 | SSID:
[DATA] 2024-02-08T12:14:01Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-92 | FC:0x4000 | SEQ:0108 | MAC:6e:60:cf:d2:b1:c6 | SSID:
[DATA] 2024-02-08T12:14:01Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-83 | FC:0x4000 | SEQ:0109 | MAC:6e:60:cf:d2:b1:c6 | SSID:
[DATA] 2024-02-08T12:14:01Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-47 | FC:0x4000 | SEQ:0111 | MAC:6e:60:cf:d2:b1:c6 | SSID:
[DATA] 2024-02-08T12:14:01Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-40 | FC:0x4000 | SEQ:0111 | MAC:6e:60:cf:d2:b1:c6 | SSID:
[DATA] 2024-02-08T12:14:02Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-68 | FC:0x4000 | SEQ:0112 | MAC:6e:60:cf:d2:b1:c6 | SSID:
[DATA] 2024-02-08T12:14:02Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-91 | FC:0x4000 | SEQ:0113 | MAC:6e:60:cf:d2:b1:c6 | SSID:
[DATA] 2024-02-08T12:14:02Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-39 | FC:0x4000 | SEQ:0114 | MAC:6e:60:cf:d2:b1:c6 | SSID:
[DATA] 2024-02-08T12:14:02Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-71 | FC:0x4000 | SEQ:0114 | MAC:6e:60:cf:d2:b1:c6 | SSID:
[DATA] 2024-02-08T12:14:02Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-36 | FC:0x4000 | SEQ:0115 | MAC:6e:60:cf:d2:b1:c6 | SSID:
[DATA] 2024-02-08T12:14:02Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-82 | FC:0x4000 | SEQ:0116 | MAC:6e:60:cf:d2:b1:c6 | SSID:
[DATA] 2024-02-08T12:14:02Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-76 | FC:0x4000 | SEQ:0117 | MAC:6e:60:cf:d2:b1:c6 | SSID:
[DATA] 2024-02-08T12:14:02Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-71 | FC:0x4000 | SEQ:0118 | MAC:6e:60:cf:d2:b1:c6 | SSID:
[DATA] 2024-02-08T12:14:02Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-70 | FC:0x4000 | SEQ:0119 | MAC:6e:60:cf:d2:b1:c6 | SSID:
[DATA] 2024-02-08T12:14:02Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-36 | FC:0x4000 | SEQ:0120 | MAC:6e:60:cf:d2:b1:c6 | SSID:
[DATA] 2024-02-08T12:14:02Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-90 | FC:0x4000 | SEQ:0120 | MAC:6e:60:cf:d2:b1:c6 | SSID:
[DATA] 2024-02-08T12:14:02Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-86 | FC:0x4000 | SEQ:0122 | MAC:6e:60:cf:d2:b1:c6 | SSID:
[DATA] 2024-02-08T12:14:02Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-36 | FC:0x4000 | SEQ:0125 | MAC:6e:60:cf:d2:b1:c6 | SSID:
[DATA] 2024-02-08T12:14:02Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-53 | FC:0x4000 | SEQ:0126 | MAC:6e:60:cf:d2:b1:c6 | SSID:
[DATA] 2024-02-08T12:14:02Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-95 | FC:0x4000 | SEQ:0127 | MAC:6e:60:cf:d2:b1:c6 | SSID:
[DATA] 2024-02-08T12:14:02Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-38 | FC:0x4000 | SEQ:0128 | MAC:6e:60:cf:d2:b1:c6 | SSID:
[DATA] 2024-02-08T12:14:10Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-93 | FC:0x4000 | SEQ:0137 | MAC:d6:f5:60:6d:a4:44 | SSID:
[DATA] 2024-02-08T12:14:10Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-80 | FC:0x4000 | SEQ:0138 | MAC:d6:f5:60:6d:a4:44 | SSID:
[DATA] 2024-02-08T12:14:10Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-56 | FC:0x4000 | SEQ:0139 | MAC:d6:f5:60:6d:a4:44 | SSID:
[DATA] 2024-02-08T12:14:11Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-63 | FC:0x4000 | SEQ:0141 | MAC:d6:f5:60:6d:a4:44 | SSID:
[DATA] 2024-02-08T12:14:11Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-75 | FC:0x4000 | SEQ:0142 | MAC:d6:f5:60:6d:a4:44 | SSID:
[DATA] 2024-02-08T12:14:11Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-92 | FC:0x4000 | SEQ:0143 | MAC:d6:f5:60:6d:a4:44 | SSID:
[DATA] 2024-02-08T12:14:11Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-91 | FC:0x4000 | SEQ:0144 | MAC:d6:f5:60:6d:a4:44 | SSID:
[DATA] 2024-02-08T12:14:11Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-64 | FC:0x4000 | SEQ:0145 | MAC:d6:f5:60:6d:a4:44 | SSID:
[DATA] 2024-02-08T12:14:11Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-95 | FC:0x4000 | SEQ:0145 | MAC:d6:f5:60:6d:a4:44 | SSID:
[DATA] 2024-02-08T12:14:11Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-75 | FC:0x4000 | SEQ:0146 | MAC:d6:f5:60:6d:a4:44 | SSID:
[DEBUG] 2024-02-08T12:14:11Z Memory Dump: 0xFE 0x0A...
[DATA] 2024-02-08T12:14:11Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-42 | FC:0x4000 | SEQ:0146 | MAC:d6:f5:60:6d:a4:44 | SSID:
[DATA] 2024-02-08T12:14:11Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-55 | FC:0x4000 | SEQ:0147 | MAC:d6:f5:60:6d:a4:44 | SSID:
[DATA] 2024-02-08T12:14:11Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-86 | FC:0x4000 | SEQ:0148 | MAC:d6:f5:60:6d:a4:44 | SSID:
[DATA] 2024-02-08T12:14:11Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-52 | FC:0x4000 | SEQ:0148 | MAC:d6:f5:60:6d:a4:44 | SSID:
[DATA] 2024-02-08T12:14:11Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-76 | FC:0x4000 | SEQ:0152 | MAC:d6:f5:60:6d:a4:44 | SSID:
[DATA] 2024-02-08T12:14:11Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-78 | FC:0x4000 | SEQ:0153 | MAC:d6:f5:60:6d:a4:44 | SSID:
[DATA] 2024-02-08T12:14:11Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-79 | FC:0x4000 | SEQ:0154 | MAC:d6:f5:60:6d:a4:44 | SSID:
[WARN] 2024-02-08T12:14:11Z Memory Dump: 0xFE 0x0A...
[DATA] 2024-02-08T12:14:12Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-72 | FC:0x4000 | SEQ:0159 | MAC:d6:f5:60:6d:a4:44 | SSID:
[DATA] 2024-02-08T12:14:12Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-39 | FC:0x4000 | SEQ:0160 | MAC:d6:f5:60:6d:a4:44 | SSID:
[DATA] 2024-02-08T12:14:12Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-69 | FC:0x4000 | SEQ:0161 | MAC:d6:f5:60:6d:a4:44 | SSID:
[DATA] 2024-02-08T12:14:12Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-85 | FC:0x4000 | SEQ:0162 | MAC:d6:f5:60:6d:a4:44 | SSID:
[DATA] 2024-02-08T12:14:25Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-51 | FC:0x4000 | SEQ:0171 | MAC:f2:9f:5a:0e:88:3f | SSID:
[DATA] 2024-02-08T12:14:25Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-77 | FC:0x4000 | SEQ:0172 | MAC:f2:9f:5a:0e:88:3f | SSID:
[DATA] 2024-02-08T12:14:25Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-82 | FC:0x4000 | SEQ:0173 | MAC:f2:9f:5a:0e:88:3f | SSID:
[DATA] 2024-02-08T12:14:25Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-78 | FC:0x4000 | SEQ:0174 | MAC:f2:9f:5a:0e:88:3f | SSID:
[DATA] 2024-02-08T12:14:25Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-79 | FC:0x4000 | SEQ:0175 | MAC:f2:9f:5a:0e:88:3f | SSID:
[DATA] 2024-02-08T12:14:25Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-78 | FC:0x4000 | SEQ:0176 | MAC:f2:9f:5a:0e:88:3f | SSID:
[DEBUG] 2024-02-08T12:14:25Z Packet dropped (queue full)
[DATA] 2024-02-08T12:14:25Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-90 | FC:0x4000 | SEQ:0177 | MAC:f2:9f:5a:0e:88:3f | SSID:
[DATA] 2024-02-08T12:14:25Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-61 | FC:0x4000 | SEQ:0178 | MAC:f2:9f:5a:0e:88:3f | SSID:
[DATA] 2024-02-08T12:14:25Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-85 | FC:0x4000 | SEQ:0179 | MAC:f2:9f:5a:0e:88:3f | SSID:
[DATA] 2024-02-08T12:14:25Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-47 | FC:0x4000 | SEQ:0179 | MAC:f2:9f:5a:0e:88:3f | SSID:
[DATA] 2024-02-08T12:14:25Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-94 | FC:0x4000 | SEQ:0180 | MAC:f2:9f:5a:0e:88:3f | SSID:
[DATA] 2024-02-08T12:14:25Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-76 | FC:0x4000 | SEQ:0180 | MAC:f2:9f:5a:0e:88:3f | SSID:
[DATA] 2024-02-08T12:14:25Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-79 | FC:0x4000 | SEQ:0181 | MAC:f2:9f:5a:0e:88:3f | SSID:
[DATA] 2024-02-08T12:14:25Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-39 | FC:0x4000 | SEQ:0182 | MAC:f2:9f:5a:0e:88:3f | SSID:
[DATA] 2024-02-08T12:14:26Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-58 | FC:0x4000 | SEQ:0186 | MAC:f2:9f:5a:0e:88:3f | SSID:
[DATA] 2024-02-08T12:14:26Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-70 | FC:0x4000 | SEQ:0187 | MAC:f2:9f:5a:0e:88:3f | SSID:
[DATA] 2024-02-08T12:14:26Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-50 | FC:0x4000 | SEQ:0188 | MAC:f2:9f:5a:0e:88:3f | SSID:
